atm_id,alias_id,banklocation_id,install_date,delivery_date,takeover_date,category_id,model_id,android_version,serail_number,type_id,status_id,warrenty
AE1ATM01,AE1ATM01,107,1/21/2022,1/21/2022,1/21/2027,2,1,Win10,J810009865,1,1,365
AE2ATM01,AE2ATM01,108,5/15/2023,5/15/2023,5/15/2028,2,1,Win10,J810009869,1,1,365
AE3ATM01,AE3ATM01,98,3/4/2022,3/4/2022,3/4/2027,2,1,Win10,J810009863,1,1,365
AE3CRM01,AE3CRM01,99,1/10/2023,1/10/2023,1/10/2028,2,3,Win10,J812002093,2,1,365
AMKATM89,AMK_UAT,78,9/6/2022,9/6/2022,9/6/2027,2,1,Win10,J810004222,1,1,365
AMKATM90,AMK_UAT,78,9/6/2022,9/6/2022,9/6/2027,2,3,Win10,J812001678,2,1,365
AMKATM91,ANSVSR-C001,71,5/26/2023,5/26/2023,5/26/2027,2,3,Win10,5310259836,2,1,365
AMKATM54,ASNASN-A001,69,6/21/2021,7/18/2021,8/30/2026,2,1,Win10,J810004202,1,1,365
AMKATM60,ASNCPV-A001,70,6/21/2021,7/18/2021,8/30/2026,2,1,Win10,J810004212,1,1,365
AMKATM57,ASNCPV-C001,70,1/28/2021,7/18/2021,8/30/2026,2,3,Win10,5310259740,2,1,365
AMKATM53,ASNTAN1-A001,113,10/5/2020,7/18/2021,8/30/2026,2,1,Win10,J810001727,1,1,365
AMKATM26,ASNTAN2-A001,114,9/16/2023,7/18/2021,8/30/2026,2,1,Win10,J810001726,1,1,365
AMKATM01,ASNVSR-A001,71,1/25/2023,7/18/2021,8/30/2026,2,1,Win10,J810004200,1,1,365
AMKATM86,BKMSTD-A001,66,6/16/2022,5/1/2022,8/30/2026,2,1,Win10,J810009352,1,1,365
AMKATM15,BMCBMC-A001,1,1/10/2023,7/18/2021,8/30/2026,2,1,Win10,J810004215,1,1,365
AMKATM05,BMCPOP-A001,2,3/18/2022,7/18/2021,8/30/2026,2,1,Win10,J810004231,1,1,365
AMKATM58,BTBBTB-C001,3,8/30/2021,7/18/2021,8/30/2026,2,3,Win10,5310263839,2,1,365
AMKATM06,BTBPSN-A001,115,5/30/2022,7/18/2021,8/30/2026,2,1,Win10,J810004236,1,2,365
AMKATM21,BTIBTI-A001,4,5/30/2022,7/18/2021,8/30/2026,2,1,Win10,J810004194,1,1,365
AMKATM87,CCVDCF-A001,67,6/16/2022,5/1/2022,8/30/2026,2,1,Win10,J810009354,1,1,365
AMKATM77,CCVLKH-A001,62,5/4/2022,5/1/2022,8/30/2026,2,1,Win10,J810009358,1,1,365
AMKATM61,KADKAD-A001,116,6/24/2021,7/18/2021,8/30/2026,2,1,Win10,J810004210,1,1,365
AMKATM48,KCHKCH-A001,5,7/19/2021,7/18/2021,8/30/2026,2,1,Win10,J810004220,1,1,365
AMKATM51,KCHMDT-A001,117,7/19/2021,7/18/2021,8/30/2026,2,1,Win10,J810004233,1,1,365
AMKATM20,KHHKHH-A001,6,6/13/2022,7/18/2021,8/30/2026,2,1,Win10,J810004239,1,1,365
AMKATM41,KOKKOK-A001,7,4/3/2021,7/18/2021,8/30/2026,2,1,Win10,J810004193,1,1,365
AMKATM24,KPSKPS-A001,8,8/31/2023,7/18/2021,8/30/2026,2,1,Win10,J810004195,1,1,365
AMKATM35,KPTCHH-A001,9,6/30/2021,7/18/2021,8/30/2026,2,1,Win10,J810004235,1,1,365
AMKATM17,KPTKPT-A001,10,6/1/2022,7/18/2021,8/30/2026,2,1,Win10,J810004201,1,1,365
AMKATM22,KPTKTR-A001,11,6/26/2023,7/18/2021,8/30/2026,2,1,Win10,J810004205,1,1,365
AMKATM19,KRTKRT-A001,12,10/21/2022,7/18/2021,8/30/2026,2,1,Win10,J810004238,1,1,365
AMKATM32,KSPKSP-A001,13,11/20/2023,7/18/2021,8/30/2026,2,1,Win10,J810004197,1,1,365
AMKATM30,KSVKSV-A001,14,11/14/2023,7/18/2021,8/30/2026,2,1,Win10,J810004204,1,1,365
AMKATM23,KTBKTB-A001,15,8/23/2023,7/18/2021,8/30/2026,2,1,Win10,J810004190,1,1,365
AMKATM49,KTHKTH-A001,16,7/6/2021,7/18/2021,8/30/2026,2,1,Win10,J810004224,1,1,365
AMKATM16,KTMKTM-A001,17,1/25/2023,7/18/2021,8/30/2026,2,1,Win10,J810004228,1,1,365
AMKATM11,MDKMDK-A001,18,6/14/2022,7/18/2021,8/30/2026,2,1,Win10,J810001785,1,1,365
AMKATM31,MEMMEM-A001,19,11/17/2023,7/18/2021,8/30/2026,2,1,Win10,J810004226,1,1,365
AMKATM25,MKPMKP-A001,20,8/31/2023,7/18/2021,8/30/2026,2,1,Win10,J810004198,1,1,365
AMKATM18,MRSMRS-A001,21,6/13/2022,7/18/2021,8/30/2026,2,1,Win10,J810004237,1,1,365
AMKATM44,OMCOMC-A001,22,7/15/2021,7/18/2021,8/30/2026,2,1,Win10,J810004217,1,1,365
AMKATM46,PALPAL-A001,118,7/29/2021,7/18/2021,8/30/2026,2,1,Win10,J810004232,1,1,365
AMKATM83,PDKIOM-A001,139,5/3/2022,5/1/2022,8/30/2026,2,1,Win10,J810009349,1,1,365
AMKATM03,PNPAEON1-C001,119,3/18/2022,7/18/2021,8/30/2026,2,3,Win10,5310259889,2,1,365
AMKATM62,PNPBKM-A001,24,6/23/2021,7/18/2021,8/30/2026,2,1,Win10,J810004219,1,1,365
AMKATM67,PNPBKM-C001,24,9/1/2021,7/18/2021,8/30/2026,2,3,Win10,5310259780,2,1,365
AMKATM50,PNPBKT-A001,120,6/26/2021,7/18/2021,8/30/2026,2,1,Win10,J810004192,1,1,365
AMKATM33,PNPBNC-C001,25,11/21/2023,7/18/2021,8/30/2026,2,3,Win10,5310263723,2,1,365
AMKATM02,PNPCAP-C001,26,6/1/2022,7/18/2021,8/30/2026,2,3,Win10,5310264009,2,1,365
AMKATM80,PNPCAR-A001,63,5/5/2022,5/1/2022,8/30/2026,2,1,Win10,J810009357,1,1,365
AMKATM10,PNPCCV-A001,27,1/18/2023,7/18/2021,8/30/2026,2,1,Win10,J810004203,1,1,365
AMKATM42,PNPCKD-C001,121,8/27/2021,7/18/2021,8/30/2026,2,3,Win10,5310259822,2,1,365
AMKATM59,PNPCKM-A001,28,6/23/2021,7/18/2021,8/30/2026,2,2,Win10,J821001980,1,1,365
AMKATM34,PNPDAK,79,10/5/2022,7/18/2021,8/30/2026,2,1,Win10,J810004196,1,1,365
AMKATM09,PNPFFM-A001,110,1/18/2023,7/18/2021,8/30/2026,2,1,Win10,J810004229,1,1,365
AMKATM45,PNPGRM-A001,29,8/27/2021,7/18/2021,8/30/2026,2,2,Win10,J821001981,1,1,365
