atm_id,alias_id,banklocation_id,install_date,delievery_date,takeover_date,category_id,model_id,android_version,serial_number,type_id,status_id,warranty
AE1ATM01,AE1ATM01,1,1/21/2022,1/21/2022,1/21/2027,1,1,Win10,J810009865,1,1,365
AE2ATM01,AE2ATM01,1,5/15/2023,5/15/2023,5/15/2028,1,1,Win10,J810009869,1,1,365
AE3ATM01,AE3ATM01,1,3/4/2022,3/4/2022,3/4/2027,1,1,Win10,J810009863,1,1,365
AE3CRM01,AE3CRM01,1,1/10/2023,1/10/2023,1/10/2028,1,1,Win10,J812002093,1,1,365
AMKATM01,ASNVSR-A001,1,1/25/2023,7/18/2021,8/30/2026,1,1,Win10,J810004200,1,1,365
AMKATM02,PNPCAP-C001,1,6/1/2022,7/18/2021,8/30/2026,1,1,Win10,5310264009,2,1,365
AMKATM03,PNPAEON1-C001,1,3/18/2022,7/18/2021,8/30/2026,1,1,Win10,5310259889,2,1,365
AMKATM04,PNPSTM-C001,1,10/21/2022,7/18/2021,8/30/2026,1,1,Win10,5310259740,2,1,365
AMKATM05,BMCPOP-A001,1,3/18/2022,7/18/2021,8/30/2026,1,1,Win10,J810004231,1,1,365
AMKATM06,BTBPSN-A001,1,5/30/2022,7/18/2021,8/30/2026,1,1,Win10,J810004236,1,2,365
AMKATM08,PNPPNP-A002,1,5/15/2023,7/18/2021,8/30/2026,1,3,Win10,J810004225,1,1,365
AMKATM09,PNPFFM-A001,1,1/18/2023,7/18/2021,8/30/2026,1,3,Win10,J810004229,1,1,365
AMKATM10,PNPCCV-A001,1,1/18/2023,7/18/2021,8/30/2026,1,3,Win10,J810004203,1,1,365
AMKATM11,MDKMDK-A001,1,6/14/2022,7/18/2021,8/30/2026,1,3,Win10,J810004221,1,1,365
AMKATM13,PNPRSK-A001,1,7/19/2022,7/18/2021,8/30/2026,1,3,Win10,J810004213,1,1,365
AMKATM14,PNPPNP-A001,1,2/17/2023,7/18/2021,8/30/2026,1,3,Win10,J810001784,1,1,365
AMKATM15,BMCBMC-A001,1,1/10/2023,7/18/2021,8/30/2026,1,3,Win10,J810004215,1,1,365
AMKATM16,KTMKTM-A001,1,1/25/2023,7/18/2021,8/30/2026,1,3,Win10,J810004228,1,1,365
AMKATM17,KPTKPT-A001,1,6/1/2022,7/18/2021,8/30/2026,1,3,Win10,J810004201,1,1,365
AMKATM18,MRSMRS-A001,1,6/13/2022,7/18/2021,8/30/2026,1,3,Win10,J810004237,1,1,365
AMKATM19,KRTKRT-A001,1,10/21/2022,7/18/2021,8/30/2026,1,3,Win10,J810004238,1,1,365
AMKATM20,KHHKHH-A001,1,6/13/2022,7/18/2021,8/30/2026,1,3,Win10,J810004239,1,1,365
AMKATM21,BTIBTI-A001,1,5/30/2022,7/18/2021,8/30/2026,1,3,Win10,J810004194,1,1,365
