bank_name_id,site_name_id,siteID,address,created_at,updated_at
5,4,12302,"Boeng Keng Kang Muoy, khan Boeng Keng Kang, Phnom penh, Cambodia",1/17/2024,1/17/2024
1,3,12353,"Hun Sen Blvd, Phum Preak Talong 3,Sangkat Chak Angre Krom, Khan mean chey, Phnom Penh",1/17/2024,1/17/2024
1,2,12101-02,"St 10003, Village Bayab, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh",1/17/2024,1/17/2024
5,4,12304-02,"759 preah monivong blvd 93, phnom penh",1/17/2024,1/17/2024
5,4,120906,"Building no 115,117 and 119 Street No.1 Trapean kol village, Sangkat Kan Taok, Khan Kamboul, Phnompenh	Kamboul sector",1/17/2024,1/17/2024
5,4,120805-02,"Building no. SHR135, Street 2004, Orchide Village, Sangkat Ou Beak Kam, Khan Saesokh, Phnom Penh, Cambodia.	sen sok section",1/17/2024,1/17/2024
2,9,120104-07,"285, Street 271, Village 1, Sangkat Boeung Keng Kang, Khan Chamkarmon, Phnom Penh",1/17/2024,1/17/2024
2,4,120501,"343, Street 217, Tali Village, Sangkat Dangkor, Khan Dangkor, Phnom Penh",1/17/2024,1/17/2024
2,4,12101-03,"PTT 2004, Teok Thla, sensok, phnom penh",1/17/2024,1/17/2024
5,4,21105,Battam bong provide,1/17/2024,1/17/2024
5,4,10501,Banteay Meanchey,1/17/2024,1/17/2024
2,7,171209,Siem reap,1/17/2024,1/17/2024
2,7,180401,"National Road No. 4, Sangkat 1, Khan Mittapheap, Sihanouk Province, Cambodia",1/17/2024,1/17/2024
2,7,171206,"National Road No. 6, Sangkat Chreav, Khan Siem Reap, Siem Reap Province, Kingdom of Cambodia",1/17/2024,1/17/2024
2,7,30303-01,"National Road No. 6 Phum Chheur Teal, Khum Phdao Chum, Srok Cherng Prey, Kampong Cham Province, Kingdom of Cambodia",1/17/2024,1/17/2024
2,7,030303-02,"National Road No. 6 Phum Chheur Teal, Khum Phdao Chum, Srok Cherng Prey, Kampong Cham Province, Kingdom of Cambodia",1/17/2024,1/17/2024
2,7,50512,"National Road No4, Phumi 6, Khom Traeng Troyeung, Srok Phnom Srouch, Kampong Speu Province, Cambodia.",1/17/2024,1/17/2024
2,7,40704,"National R. 5, Phum Toul Khsach, Khum Chrey Bak, Srok Rolea Pa Ear, Kanpong Chhnang province",1/17/2024,1/17/2024
3,7,12302-03,"44, St 334 corner 57, Sangkat Beoung keng kong I, Khan Beoung keng kong, Phnom penh",1/17/2024,1/17/2024
5,4,30401,"Boeng Kok Ti Pir Village, Sangkat Boeng Kok, Kampong Cham Municipality, Kompong Cham province",1/17/2024,1/17/2024
3,7,12205,"Kandal 2, Khan Daun Penh, Phnom Penh, Cambodia.",1/17/2024,1/17/2024
1,3,1235312,"Hun Sen Blvd, Phum Preak Talong 3,Sangkat Chak Angre Krom, Khan mean chey, Phnom Penh",1/17/2024,1/17/2024
1,3,1235313,"Hun Sen Blvd, Phum Preak Talong 3,Sangkat Chak Angre Krom, Khan mean chey, Phnom Penh",1/17/2024,1/17/2024
1,8,1210112,"St 10003, Village Bayab, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh",1/17/2024,1/17/2024
1,8,1210113,"St 10003, Village Bayab, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh",1/17/2024,1/17/2024
5,8,211002-01,"National Road 2, Phsar Ta Kor Village, Sangkat Rokar Knoung, Daun Keo City, Takeo Province.",1/17/2024,1/17/2024
5,3,12353-02,"Hun Sen Blvd, Phum Preak Talong 3,Sangkat Chak Angre Krom, Khan mean chey, Phnom Penh",1/17/2024,1/17/2024
