bank_name_id,site_name_id,siteID,address
2,4,10804,"National Road No. 5, Korathan Village, Sangkat OAmbel, Serey Sophorn City, Banteay Meanchey Province."
2,8,10901,"National Road No 5, Paliley Village, Sangkat Poipet, Poipet City, Banteay Meanchey Province."
2,4,21403,"Plot No. 0355 and National Road No. 05, Romchek 5 Village, Sangkat Rattan: Battambang City, Battambang Province."
2,4,210815,"National Road No. 2, Chak Village, Trapeang Sap Commune, Bati District, Takeo Province."
2,4,30402,"Village 6, Sangkat Veal Vong, Kampong Cham City, Kampong Cham Province."
2,4,40802,"Village 1, Sangkat Khsam, Kampong Chhnang City, Kampong Chhnang Province"
2,4,90701,"420, Village 1, Sangkat Smach Meanchey, Khemarak Phoumin Municipality, Koh Kong Province."
2,4,50302,"National Road No. 3, Krabei Tram Village, Chung Ruk Commune, Kong Pisey District, Kampong Speu Province."
2,4,70112,"Sat Pong Village, Sat Pong Commune, Chhouk District, Kampot Province."
2,4,70803,"Kampong Bay South Village, Sangkat Kampong Bay, Kampot City, Kampot Province."
2,4,70605,"Kampong Trach I Village, Kampong Trach East Commune, Kampong Trach District, Kampot Province."
2,4,100603,"Sangkum Reastr Niyum Road, Wat Village, Sangkat Kratie, Kratie City, Kratie Province."
2,4,50803,"Plot No. 567, Kraing Pol Tep Village, Sangkat Rokar Thom, Chbar Morn City, Kampong Speu Province."
2,4,81005,"1, Toul Tnaot Village, Koki Commune, Kien Svay District, Kandal Province."
2,4,141109,"Chambok village, Prasat commune, Kampong Trabek district, Prey Veng province."
2,4,60803,"National Road No. 6, Kampong Thom Village, Sangkat Kampong Rotes, Steung Sen City, Kampong Thom Province."
2,4,60102,"Street 6, Trapeang Svay Village, Ballong Commune, Baray District, Kampong Thom Province."
2,8,110503,"Kandal Village, Sangkat Meanchey, Sen Monorom City, Mondulkiri Province."
2,4,250308,"Tbov Wat Village, Memot Commune, Memot District, Kampong Cham Province."
2,4,80701,"Street 6A, House No. 043, Group 3, Krom Village, Prek Anchanh Commune, Muk Kampoul District, Kandal Province."
2,8,20502,"Kear 3 Village, Kear Commune, Maung Russey District, Battambang Province."
2,4,240504,"Samrong Village, Samrong Commune, Daun Keo City, Oddor Meanchey Province."
2,7,120101-01,"phnom penh center 001b, samdech sothearos st. 3, village 15, sangkat tonle bassac, khan chamkarmon, phnom penh."
2,4,121001,"152BA5 and 152BA6, Street 516, Village 13, Sangkat Boeung Kak I, Khan Toul Kork, Phnom Penh."
2,7,120101-02,"432E, Preah Monivong Street, Sangkat Tonle Bassac, Khan Chamkarmon, Phnom Penh, Cambodia."
2,8,121202,"Building No. 588, National Road No. 1, Group 3, Doeum Sleng Village, Sangkat Chba Ampov 2, Khan Chbar Ampov, Phnom Penh"
2,8,120104-04,"National Road No. 6A, Group 8, Village 3, Sangkat Chroy Changva, Khan Chroy Changva, Phnom Penh"
2,7,120210-01,"plot no. 191, oknha try heng street 2011, kork khleang village, sangkat kork khleang, khan sen sok, phnom penh."
2,7,120104-06,"56, Street 360, Village 9, Sangkat Boeung Keng Kang III, Khan Boeung Keng Kang, Phnom Penh"
2,7,120803,"St. 3032, Banlea Set Village, Sangkat Khmuonh, Khan Sen Sok, Phnom Penh"
2,7,120211-02,"National University of Management, St. 96 Christopher House, Sangkat Wat Phnom, Khan Daun Penh, Phnom Penh, Cambodia."
2,4,120409-01,"Plot No. 20, House 179 Aston, Street 215, Village 16, Sangkat Phsar Doeum Kor, Khan Toul Kork, Phnom Penh"
2,4,120409-02,"Plot No. 20, House 179 Aston, Street 215, Village 16, Sangkat Phsar Doeum Kor, Khan Toul Kork, Phnom Penh"
2,4,120104-01,"285, Street 271, Village 1, Sangkat Boeung Keng Kang, Khan Chamkarmon, Phnom Penh."
2,4,120104-03,"285, Street 271, Village 1, Sangkat Boeung Keng Kang, Khan Chamkarmon, Phnom Penh."
2,8,120801,"1216, Street 1986, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh."
2,4,120211,"Building No. 97Eo, Street 110, Sangkat Wat Phnom, Khan Daun Penh, Phnom Penh"
2,4,120702,"Building No. 748, National Road No. 5, Krol Ko Village, Sangkat Kilometer 6, Khan Russey Keo, Phnom Penh."
2,7,120603,"Damnak Thom Village, Sangkat Steung Meanchey, Khan Meanchey, Phnom Penh"
2,7,120112,"Kampuchea Krom Street, Sangkat Teuk Laak 1, Khan Toul Kork, Phnom Penh, Cambodia."
