ATM ID,Alias Name,ATM Live,Location,ATM Type,Bank,Model
AMKATM01,ASNVSR-A001,21-Jun-21,"Building 6, Veng Sreng Street, Trapeang Thleung Village, Sangkat Choam Chao, Khan Por Senchey, Phnom Penh.",ATM ,AMK,DN100D
AMKATM05,BMCPOP-A001,16-Jul-21,"National Road No 5, Paliley Village, Sangkat Poipet, Poipet City, Banteay Meanchey Province.",ATM ,AMK,DN100D
AMKATM06,BTBPSN-A001,14-Jul-21,"Prek Mohatep Village, Sangkat Svay Por, Battambang Province.",ATM ,AMK,DN100D
AMKATM08,PNPPNP-A002,17-Jan-22,"285, Street 271, Village 1, Sangkat Boeung Keng Kang, Khan Chamkarmon, Phnom Penh.",ATM ,AMK,DN100D
AMKATM09,PNPFFM-A001,23-Jun-21,"56, Street 360, Village 9, Sangkat Boeung Keng Kang III, Khan Boeung Keng Kang, Phnom Penh",ATM ,AMK,DN100D
AMKATM10,PNPCCV-A001,13-Sep-21,"National Road No. 6A, Group 8, Village 3, Sangkat Chroy Changva, Khan Chroy Changva, Phnom Penh",ATM ,AMK,DN100D
AMKATM11,MDKMDK-A001,24-Jul-21,"Kandal Village, Sangkat Meanchey, Sen Monorom City, Mondulkiri Province.",ATM ,AMK,DN100D
AMKATM13,PNPRSK-A001,25-Jun-21,"Building No. 748, National Road No. 5, Krol Ko Village, Sangkat Kilometer 6, Khan Russey Keo, Phnom Penh.",ATM ,AMK,DN100D
AMKATM14,PNPPNP-A001,22-Jul-21,"285, Street 271, Village 1, Sangkat Boeung Keng Kang, Khan Chamkarmon, Phnom Penh.",ATM ,AMK,DN100D
AMKATM15,BMCBMC-A001,16-Jul-21,"National Road No. 5, Korathan Village, Sangkat OAmbel, Serey Sophorn City, Banteay Meanchey Province.",ATM ,AMK,DN100D
AMKATM16,KTMKTM-A001,23-Jul-21,"Street 6, Trapeang Svay Village, Ballong Commune, Baray District, Kampong Thom Province.",ATM ,AMK,DN100D
AMKATM17,KPTKPT-A001,30-Jun-21,"Kampong Bay South Village, Sangkat Kampong Bay, Kampot City, Kampot Province.",ATM ,AMK,DN100D
AMKATM18,MRSMRS-A001,17-Jul-21,"Kear 3 Village, Kear Commune, Maung Russey District, Battambang Province.",ATM ,AMK,DN100D
AMKATM19,KRTKRT-A001,2-Jul-21,"Sangkum Reastr Niyum Road, Wat Village, Sangkat Kratie, Kratie City, Kratie Province.",ATM ,AMK,DN100D
AMKATM20,KHHKHH-A001,12-Jul-21,"Village 1, Sangkat Khsam, Kampong Chhnang City, Kampong Chhnang Province",ATM ,AMK,DN100D
AMKATM21,BTIBTI-A001,28-Jun-21,"National Road No. 2, Chak Village, Trapeang Sap Commune, Bati District, Takeo Province.",ATM ,AMK,DN100D
AMKATM22,KPTKTR-A001,20-Jul-21,"Kampong Trach I Village, Kampong Trach East Commune, Kampong Trach District, Kampot Province.",ATM ,AMK,DN100D
AMKATM23,KTBKTB-A001,6-Jul-21,"Chambok village, Prasat commune, Kampong Trabek district, Prey Veng province.",ATM ,AMK,DN100D
AMKATM24,KPSKPS-A001,28-Jun-21,"National Road No. 3, Krabei Tram Village, Chung Ruk Commune, Kong Pisey District, Kampong Speu Province.",ATM ,AMK,DN100D
AMKATM25,MKPMKP-A001,13-Jul-21,"Street 6A, House No. 043, Group 3, Krom Village, Prek Anchanh Commune, Muk Kampoul District, Kandal Province.",ATM ,AMK,DN100D
AMKATM26,ASNTAN2-A001,5-Oct-20,"Tnot 1 Deum Village, Bek Chan Commune, Ang Snoul District, Kandal Province.",ATM ,AMK,DN100D
AMKATM28,PNPPDK-A001,26-Jun-21,"Plot No. 20, House 179 Aston, Street 215, Village 16, Sangkat Phsar Doeum Kor, Khan Toul Kork, Phnom Penh",ATM ,AMK,DN100D
AMKATM30,KSVKSV-A001,25-Jun-21,"1, Toul Tnaot Village, Koki Commune, Kien Svay District, Kandal Province.",ATM ,AMK,DN100D
AMKATM31,MEMMEM-A001,5-Jul-21,"Tbov Wat Village, Memot Commune, Memot District, Kampong Cham Province.",ATM ,AMK,DN100D
AMKATM32,KSPKSP-A001,24-Jun-21,"Plot No. 567, Kraing Pol Tep Village, Sangkat Rokar Thom, Chbar Morn City, Kampong Speu Province.",ATM ,AMK,DN100D
AMKATM35,KPTCHH-A001,30-Jun-21,"Sat Pong Village, Sat Pong Commune, Chhouk District, Kampot Province.",ATM ,AMK,DN100D
AMKATM38,PSTPST-A001,8-Jul-21,"Street 05, Ra Village, Sangkat Phteah Prey, Pursat City, Pursat Province.",ATM ,AMK,DN100D
AMKATM39,PRVPRV-A001,21-Jun-21,"70, Village 4, Sangkat Kampong Leav, Prey Veng City, Prey Veng Province.",ATM ,AMK,DN100D
AMKATM40,TAKATS-A001,17-Mar-22,"Prey Romdeng Village, Ang Tasom Commune, Tram Kak District, Takeo Province.",ATM ,AMK,DN100D
AMKATM41,KOKKOK-A001,3-Apr-21,"420, Village 1, Sangkat Smach Meanchey, Khemarak Phoumin Municipality, Koh Kong Province.",ATM ,AMK,DN100D
AMKATM44,OMCOMC-A001,15-Jul-21,"Samrong Village, Samrong Commune, Daun Keo City, Oddor Meanchey Province.",ATM ,AMK,DN100D
