Docket No,ATM ID,Model,Alias ATM ID,ATM Type,Call Date with Time,Sub Call Type,Completion Date,ATM Down,Diagnosis,Action Taken,Issue Categories
061022/2,AMKATM65,DN 100D,PUKPUK-A001,ATM,10/6/2022 14:36,Card Jammed,10/8/2022 10:15,Yes,Card jam in the transport,"User : Seth Date  : Oct  8 2022 11:27AM
Action :  -Check device status normal and printer counter. -Shutdown ATM Machine - Remove card reader (lots of ant in card reader and out site).remove shutter carder , board, to clean ant from card reader and also clean roller of card reader. -Put all devices back to right position. -Power on ATM and check device is ok - Use cleaning card to clean card reader. -Tested many transactions to confirm is ok.no more card jam. Result: Now ,ATM is working as normal ;

User : Chean Sovanarath Date  : Oct  8 2022 11:12AM
Action : -Check device status normal and printer counter.
-Shutdown ATM Machine 
- Remove card reader (lots of ant in card reader and out site).remove shutter carder , board, to clean ant 
from card reader and also clean roller of card reader.
-Put all devices back to right position.
-Power on ATM and check device is ok
- Use cleaning card to clean card reader.
-Tested many transactions to confirm is ok.no more card jam.
Result: Now ,ATM is working as normal .;

User : Seth Date  : Oct  8 2022  8:51AM
Action : issue card reader frequently error feed transport;

User : Seth Date  : Oct  8 2022  7:22AM
Action : Error feed transport;

User : Seth Date  : Oct  6 2022  4:12PM
Action :  Contact branch to removed the card jam from card reader. - Checked all card transport path. - Reset card reader from TSOP, Successfully. - Branch staff tested a few card successfully. Inform Bank to keep monitor.;

User : Khen Raksmey Date  : Oct  6 2022  4:09PM
Action : - Contact branch to removed the card jam from card reader. 
- Checked all card transport path. 
- Reset card reader from TSOP, Successfully. 
- Branch staff tested a few card successfully. 
Inform Bank to keep monitor. 
;

User : Seth Date  : Oct  6 2022  2:40PM
Action : Card jam in transport;

",Card reader
071022/3,AMKATM15,DN 100D,BMCBMC-A001,ATM,10/7/2022 10:10,Card Jammed,10/8/2022 10:15,No,Receipt jam,"User : Seth Date  : Oct 10 2022  2:12PM
Action : -Check device status normal and printer counter. -Shutdown ATM Machine - Remove card reader (lots of ant in card reader and outsite).remove shutter carder , board, to clean ant from card reader and also clean roller of card reader. -Put all devices back to right position. -Power on ATM and check device is ok - Use cleaning card to clean card reader. -Tested many transactions to confirm is ok.no more card jam. Result: Now ,ATM is working as normal .;

User : Andrew Ng  Date  : Oct 10 2022  2:04PM
Action : -Check device status normal and printer counter.
-Shutdown ATM Machine
- Remove card reader (lots of ant in card reader and outsite).remove shutter carder , board, to clean ant
from card reader and also clean roller of card reader.
-Put all devices back to right position.
-Power on ATM and check device is ok
- Use cleaning card to clean card reader.
-Tested many transactions to confirm is ok.no more card jam.
Result: Now ,ATM is working as normal .;

User : Chean Sovanarath Date  : Oct 10 2022 12:46PM
Action : Check device status show error receipt printer.
-Printer counter before fixing.
-Shutdown ATM machine
-Remove out reciept printer from ATM
- Remove shutter of reciept, Cutter, clean roller .
-Changed sensor of black mark from right to left position.
-Put all devices back to right position.
-Power on ATM Machine.
-Tested reciept printer is working.testing many times print counter are working.
-Bank and costumer tested transaction taken receipt are working.
Result: Now Reciept Printer is ok.;

User : Chean Sovanarath Date  : Oct 10 2022 12:18PM
Action : -Check device status show error receipt printer.
-Printer counter before fixing.
-Shutdown ATM machine
-Remove out reciept printer from ATM
- Remove shutter of reciept, Cutter, clean roller .
-Changed sensor of black mark from right to left position.
-Put all devices back to right position.
-Power on ATM Machine.
-Tested reciept printer is working testing many times print counter are working.
-Bank and costumer tested transaction taken receipt are working.
Result: Now Reciept Printer is ok.;

User : Chean Sovanarath Date  : Oct 10 2022 12:12PM
Action : -Check device status show error receipt printer.
-Printer counter before fixing.
-Shutdown ATM machine
-Remove out reciept printer from ATM
- Remove shutter of reciept, Cutter, clean roller .
-Changed sensor of black mark from right to left position.
-Put all devices back to right position.
-Power on ATM Machine.
-Tested reciept printer is working.testing many times print counter are working.
-Bank and costumer tested transaction taken receipt are working.
Result: Now Reciept Printer of ATM is w;

User : Khen Raksmey Date  : Oct  7 2022 10:35AM
Action : Call Support but issue not resolved. Arrange Engineer to be on site support. ;

User : Banktech Date  : Oct  7 2022 10:12AM
Action : Receipt jam;

",Card reader
101022/4,AMKATM25,DN 100D,MKPMKP-A001,ATM,10/10/2022 8:37,Application Error,10/10/2022 13:20,Yes,Auto reboot at 02:00am,"User : Seth Date  : Oct 10 2022  4:14PM
Action : maintenance and restore new image. -Backup all data, IP, computer name, bitemap, snmp service name. -Restore new image completed -Replace all data, IP, Computer name, bitemap, snmp service name. -Test all device ATM status are ok -Shutdown ATM and removed out and clean device(Card reader, reciept printer, screen, feed wheel, tag_away wheel, stripper wheel) and clean EPP, PC, dispenser, power supply, all sensors. -Put back device and power on ATM, Tested all device ATM status are ok - ATM is ok.;

User : Deam1 Date  : Oct 10 2022  4:10PM
Action : maintenance and restore new image. -Backup all data, IP, computer name, bitemap, snmp service name. -Restore new image completed -Replace all data, IP, Computer name, bitemap, snmp service name. -Test all device ATM status are ok -Shutdown ATM and removed out and clean device(Card reader, reciept printer, screen, feed wheel, tag_away wheel, stripper wheel) and clean EPP, PC, dispenser, power supply, all sensors. -Put back device and power on ATM, Tested all device ATM status are ok - ATM is ok.;

User : Khen Raksmey Date  : Oct 10 2022  2:40PM
Action : maintenance and restore new image.
-Backup all data, IP, computer name, bitemap, snmp service name.
-Restore new image completed
-Replace all data, IP, Computer name, bitemap, snmp service name.
-Test all device ATM status are ok
-Shutdown ATM and removed out and clean device(Card reader, reciept printer, screen, feed wheel,
tag_away wheel, stripper wheel) and clean EPP, PC, dispenser, power supply, all sensors.
-Put back device and power on ATM, Tested all device ATM status are ok
- ATM is ok.;

User : Andrew Ng  Date  : Oct 10 2022  2:10PM
Action : -Check device status show error receipt printer.
-Printer counter before fixing.
-Shutdown ATM machine
-Remove out reciept printer from ATM
- Remove shutter of reciept, Cutter, clean roller .
-Changed sensor of black mark from right to left position.
-Put all devices back to right position.
-Power on ATM Machine.
-Tested reciept printer is working.testing many times print counter are working.
-Bank and costumer tested transaction taken receipt are working.
Result: Now Reciept Printer of ATM is w;

User : Andrew Ng  Date  : Oct 10 2022  2:08PM
Action : -Check device status show error receipt printer.
-Printer counter before fixing.
-Shutdown ATM machine
-Remove out reciept printer from ATM
- Remove shutter of reciept, Cutter, clean roller .
-Changed sensor of black mark from right to left position.
-Put all devices back to right position.
-Power on ATM Machine.
-Tested reciept printer is working.testing many times print counter are working.
-Bank and costumer tested transaction taken receipt are working.
Result: Now Reciept Printer of ATM is w;

User : Khen Raksmey Date  : Oct 10 2022  1:59PM
Action : maintenance and restore new image.
-Backup all data, IP, computer name, bitemap, snmp service name.
-Restore new image completed
-Replace all data, IP, Computer name, bitemap, snmp service name.
-Test all device ATM status are ok
-Shutdown ATM and removed out and clean device(Card reader, reciept printer, screen, feed wheel,
tag_away wheel, stripper wheel) and clean EPP, PC, dispenser, power supply, all sensors.
-Put back device and power on ATM, Tested all device ATM status are ok
- ATM is ok.;

User : Seth Date  : Oct 10 2022  8:40AM
Action : Auto reboot at 02:00am;

",Software
111022/6,AMKATM49,DN 100D,KTHKTH-A001,ATM,10/11/2022 9:28,PC Error,10/11/2022 10:40,No,LCD screen issue,"User : Seth Date  : Oct 11 2022 11:36AM
Action : -Check all device . -Print counter before checking screen and touch screen. -Shutdown ATM Machine -Remove out LED screen. - clean touch screen and LED Screen. -put LED screen back -Power on ATM Machine -Check device and test touch screen is ok. Result : Now ATM is working as normal;

User : Chean Sovanarath Date  : Oct 11 2022 11:34AM
Action : -Check all device .
-Print counter before checking screen and touch screen.
-Shutdown ATM Machine
-Remove out LED screen.
- clean touch screen and LED Screen.
-put LED screen back 
-Power on ATM Machine
-Check device and test touch screen is ok.
Result : Now ATM is working as normal;

User : Khen Raksmey Date  : Oct 11 2022  9:48AM
Action : On-Site Support (Fixing) TID: 102622;

User : Seth Date  : Oct 11 2022  9:30AM
Action : LCD screen issue;

",Other
111022/7,AMKATM08,DN 100D,PNPPNP-A002,ATM,10/11/2022 14:07,Feed Wheel Spoil,10/11/2022 15:30,Yes,Unable to open safe door,"User : Seth Date  : Oct 11 2022  4:08PM
Action :  - Trying to open safedoor many times with guessing number. Successfully open safedoor. - Reset safedoor. Branch change new code successfully open/close. - Safedoor confirm open/close with new code successfully.;

User : Touch Jack Date  : Oct 11 2022  4:04PM
Action : - Trying to open safedoor many times with guessing number. Successfully open safedoor. 
- Reset safedoor. Branch change new code successfully open/close.
- Safedoor confirm open/close with new code successfully.;

User : Banktech Date  : Oct 11 2022  2:10PM
Action : Unable to open safe door;

",Dispenser
111022/8,AMKATM14,DN 100D,PNPPNP-A001,ATM,10/11/2022 14:37,Application Error,10/11/2022 15:00,No,receipt error,"User : Seth Date  : Oct 11 2022  4:31PM
Action : -Check Receipt printer error -Shutdown ATM -Checked and fixed receipt printer by clean sensor done. -Check receipt printer are sticky. -Reinstall receipt printer into the right position. -Power on and check receipt printer are ok -Now ATM is working as normal;

User : Touch Jack Date  : Oct 11 2022  4:28PM
Action : -Check Receipt printer error
-Shutdown ATM
-Checked and fixed receipt printer by clean sensor done.
-Check receipt printer are sticky.
-Reinstall receipt printer into the right position.
-Power on and check receipt printer are ok
-Now ATM is working as normal;

User : Touch Jack Date  : Oct 11 2022  4:28PM
Action : -Check Receipt printer error
-Shutdown ATM
-Checked and fixed receipt printer by clean sensor done.
-Check receipt printer are sticky.
-Reinstall receipt printer into the right position.
-Power on and check receipt printer are ok
-Now ATM is working as normal;

User : Touch Jack Date  : Oct 11 2022  4:28PM
Action : -Check Receipt printer error
-Shutdown ATM
-Checked and fixed receipt printer by clean sensor done.
-Check receipt printer are sticky.
-Reinstall receipt printer into the right position.
-Power on and check receipt printer are ok
-Now ATM is working as normal;

User : Seth Date  : Oct 11 2022  2:40PM
Action : receipt error;

",Software
141022/9,AMKATM48,DN 100D,KCHKCH-A001,ATM,10/14/2022 9:03,Card Reader Error,10/14/2022 9:40,No,card reader error Anti-Fishing detected,"User : Seth Date  : Oct 14 2022  9:56AM
Action : -call to branch and support removed card jam in card reader -reset card reader and test is ok -restart ATM and test transaction is working normal.;

User : Nao Bunseang Date  : Oct 14 2022  9:51AM
Action : -call to branch and support removed card 
  jam in card reader 
-reset card reader and test is ok
-restart ATM and test transaction is working 
 normal.;

User : Khen Raksmey Date  : Oct 14 2022  9:37AM
Action : Noa Bunseang supported customer by Phone call. ;

User : Seth Date  : Oct 14 2022  9:04AM
Action : card jam;

",Card reader
181022/11,AMKATM40,DN 100D,TAKATS-A001,ATM,10/18/2022 9:02,EPP Error,10/18/2022 9:45,Yes,Switch back the EPP,"User : Seth Date  : Oct 18 2022 10:31AM
Action : -Checked and tested devices are Ok. -Shutdown machine ATM and removed out EPP from ATM (S/N: INTASA1C20002750) -Install back old EPP to ATM (S//N: INTASA1C20002568) -Power ON ATM, checked and tested devices are ok. -Load master key on ATM completed. -Customer perform transaction. Completed. -Now ATM has been replaced EPP
;

User : Deam3 Date  : Oct 18 2022 10:24AM
Action : -Checked and tested devices are Ok.
-Shutdown machine ATM and removed out EPP from ATM (S/N: INTASA1C20002750)
-Install back old EPP to ATM (S//N: INTASA1C20002568)
-Power ON ATM, checked and tested devices are ok.
-Load master key on ATM completed.
-Customer perform transaction. Completed.
-Now ATM has been replaced EPP;

User : Seth Date  : Oct 18 2022  9:06AM
Action : Error EPP;

",EPP
201022/12,AMKATM26,DN 100D,ASNTAN2-A001,ATM,10/20/2022 8:36,Stacker Error,10/20/2022 11:16,No,Error Cassette 4,"User : Seth Date  : Oct 20 2022 11:27AM
Action : -Check and test all device ATM status error slot 4. -Shutdown ATM and check dispenser slot cassette 4 (Broken feed wheel 1 unit and Broken tag_away 1unit) -Change new feed wheel and change new tag_away done. -Power on ATM and tested all device ATM status are ok. -Bank loaded cash and tested transaction many time completed -Now ATM working as normal;

User : Khen Raksmey Date  : Oct 20 2022 11:25AM
Action : -Check and test all device ATM status error slot 4.
-Shutdown ATM and check dispenser slot cassette 4 (Broken feed wheel 1 unit and Broken tag_away 1unit)
-Change new feed wheel and change new tag_away done.
-Power on ATM and tested all device ATM status are ok.
-Bank loaded cash and tested transaction many time completed
-Now ATM working as normal;

User : Banktech Date  : Oct 20 2022  8:40AM
Action : Error cassette 4;

",FIL
251022/16,AMKATM05,DN 100D,BMCPOP-A001,ATM,10/25/2022 10:21,Cash Rejected and Torn,10/26/2022 10:16,No,Torn Note,"User : Seth Date  : Oct 26 2022 10:48AM
Action :  -Check and test all devices ATM -Check hardware dispenser and check all slot cassettes (slot 1, slot 3, slot 4 and take_away slot 4 one unit, slot 3 one unit, stripper wheel slot 4 one unit, slot 3 one unit are spoil). -Shutdown ATM and removed out feed wheel and take_away, stripper wheel. -Replace new feed wheel and take_away, stripper wheel. Power on ATM and tested all devices ATM status are ok. -Bank loaded cash and tested transaction many time successfully. -Now ATM working.;

User : Khen Raksmey Date  : Oct 26 2022 10:39AM
Action : -Check and test all devices ATM
-Check hardware dispenser and check all slot cassettes (slot 1, slot 3, slot 4 and take_away slot 4 one unit,
slot 3 one unit, stripper wheel slot 4 one unit, slot 3 one unit are spoil).
-Shutdown ATM and removed out feed wheel and take_away, stripper wheel.
-Replace new feed wheel and take_away, stripper wheel.
Power on ATM and tested all devices ATM status are ok.
-Bank loaded cash and tested transaction many time successfully.
-Now ATM working. ;

User : Khen Raksmey Date  : Oct 25 2022 10:24AM
Action : Assign Engineer to be onsite to fix issue on torn note issue. 
Assign to Engineer Name: Touch Jack;

User : Parinha Date  : Oct 25 2022 10:22AM
Action : Torn Note;

",Dispenser
